"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
201	16	00001	1	01	115.25
201	16	00001	1	02	115.25
201	16	00001	1	03	115.25
201	16	00001	1	04	115.25
201	16	00002	1	01	130.21
201	16	00002	1	02	130.21
201	16	00002	2	03	130.21
201	16	00002	2	04	130.21
201	16	00003	1	01	153.88
201	16	00003	1	02	153.88
201	16	00004	1	01	243.08
201	16	00004	1	02	243.08
201	16	00005	1	01	212.29
201	16	00005	1	02	212.29
201	16	00005	2	03	212.29
201	16	00006	1	01	310.19
201	16	00007	1	01	244.01
201	16	00007	2	02	244.01
201	16	00008	1	01	139.64
201	16	00008	1	02	139.64
201	16	00008	2	03	139.64
201	16	00008	2	04	139.64
201	16	00008	2	05	139.64
201	16	00008	2	06	139.64
201	16	00008	2	07	139.64
201	16	00009	1	01	276.31
201	16	00010	1	01	227.53
201	16	00010	1	02	227.53
201	16	00010	2	03	227.53
201	16	00011	1	01	181.06
201	16	00012	1	01	238.3
201	16	00012	1	02	238.3
201	16	00013	1	01	385.72
201	16	00013	1	02	385.72
201	16	00014	1	01	175.36
201	16	00014	1	02	175.36
201	16	00014	2	03	175.36
201	16	00015	1	01	353.28
201	16	00015	1	02	353.28
201	16	00015	1	03	353.28
201	16	00015	1	04	353.28
201	16	00016	1	01	136.19
201	16	00016	1	02	136.19
201	16	00016	1	03	136.19
201	16	00016	1	04	136.19
201	16	00017	1	01	181.06
201	16	00018	1	01	153.88
201	16	00018	1	02	153.88
201	16	00019	1	01	265
201	16	00019	1	02	265
201	16	00020	1	01	211.17
201	16	00020	1	02	211.17
201	16	00020	1	03	211.17
201	16	00020	1	04	211.17
201	16	00021	1	01	141.83
201	16	00022	1	01	263.21
201	16	00022	1	02	263.21
201	16	00022	1	03	263.21
201	16	00023	1	01	143.05
201	16	00023	1	02	143.05
201	16	00024	1	01	215.24
201	16	00025	1	01	195.15
201	16	00025	1	02	195.15
201	16	00026	1	01	132.69
201	16	00027	1	01	195.15
201	16	00027	1	02	195.15
201	16	00028	1	01	50.76
201	16	00028	1	02	50.76
201	16	00028	2	03	50.76
201	16	00028	2	04	50.76
201	16	00029	1	01	299.53
201	16	00030	1	01	211.85
201	16	00030	1	02	211.85
201	16	00030	2	03	211.85
201	16	00031	1	01	149.78
201	16	00031	2	02	149.78
201	16	00031	2	03	149.78
201	16	00032	1	01	276.31
201	16	00033	1	01	265.53
201	16	00033	1	02	265.53
201	16	00034	1	01	259.74
201	16	00034	1	02	259.74
201	16	00034	2	03	259.74
201	16	00035	1	01	176.02
201	16	00036	1	01	321.2
201	16	00037	1	01	215.24
201	16	00038	1	01	195.15
201	16	00038	1	02	195.15
201	16	00039	1	01	195.15
201	16	00039	1	02	195.15
201	16	00040	1	01	276.31
201	16	00041	1	01	153.04
201	16	00041	1	02	153.04
201	16	00041	2	03	153.04
201	16	00041	2	04	153.04
201	16	00042	1	01	86.27
201	16	00042	2	02	86.27
201	16	00042	2	03	86.27
201	16	00042	2	04	86.27
201	16	00043	1	01	195.15
201	16	00043	1	02	195.15
201	16	00044	1	01	162.35
201	16	00044	1	02	162.35
201	16	00044	2	03	162.35
201	16	00044	2	04	162.35
201	16	00044	2	05	162.35
201	16	00045	1	01	131.01
201	16	00045	1	02	131.01
201	16	00045	2	03	131.01
201	16	00045	2	04	131.01
201	16	00046	1	01	195.15
201	16	00046	1	02	195.15
201	16	00047	1	01	145.58
201	16	00048	1	01	225.9
201	16	00048	1	02	225.9
201	16	00048	1	03	225.9
201	16	00049	1	01	146.26
201	16	00050	1	01	215.24
201	16	00051	1	01	117.46
201	16	00051	1	02	117.46
201	16	00051	1	03	117.46
201	16	00051	1	04	117.46
201	16	00051	2	05	117.46
201	16	00052	1	01	195.15
201	16	00052	1	02	195.15
201	16	00053	1	01	270.62
201	16	00053	1	02	270.62
201	16	00053	1	03	270.62
201	16	00054	1	01	263.21
201	16	00054	1	02	263.21
201	16	00054	1	03	263.21
201	16	00055	1	01	153.88
201	16	00055	1	02	153.88
201	16	00056	1	01	131.01
201	16	00056	1	02	131.01
201	16	00056	2	03	131.01
201	16	00056	2	04	131.01
201	16	00057	1	02	215.24
201	16	00058	1	01	146.26
201	16	00059	1	01	152.87
201	16	00059	1	02	152.87
201	16	00059	1	03	152.87
201	16	00059	2	04	152.87
201	16	00060	1	01	263.21
201	16	00060	1	02	263.21
201	16	00060	1	04	263.21
201	16	00061	1	01	215.24
201	16	00062	1	01	143.05
201	16	00062	1	02	143.05
201	16	00063	1	01	221.83
201	16	00063	1	02	221.83
201	16	00063	1	03	221.83
201	16	00063	1	04	221.83
201	16	00064	1	01	215.24
201	16	00065	1	01	195.15
201	16	00065	1	02	195.15
201	16	00066	1	01	184.38
201	16	00066	1	02	184.38
201	16	00066	1	04	184.38
201	16	00067	1	01	235.89
201	16	00067	1	02	235.89
201	16	00067	1	03	235.89
201	16	00068	1	01	266.75
201	16	00069	1	01	153.88
201	16	00069	1	02	153.88
201	16	00070	1	01	181.06
201	16	00071	1	01	161.02
201	16	00072	1	01	181.06
201	16	00073	1	01	206.7
201	16	00073	1	02	206.7
201	16	00073	1	03	206.7
201	16	00074	1	01	141.83
201	16	00075	1	01	181.06
201	16	00076	1	01	173.14
201	16	00076	1	02	173.14
201	16	00076	1	03	173.14
201	16	00076	1	04	173.14
201	16	00077	1	01	145.58
201	16	00078	1	01	147.09
201	16	00078	1	02	147.09
201	16	00079	1	01	328.22
201	16	00079	1	02	328.22
201	16	00079	2	03	328.22
201	16	00080	1	01	124.61
201	16	00081	1	01	146.26
201	16	00082	1	01	62.89
201	16	00082	2	02	62.89
201	16	00082	2	03	62.89
201	16	00083	1	01	143.05
201	16	00083	1	02	143.05
201	16	00084	1	01	183.97
201	16	00084	1	02	183.97
201	16	00084	2	03	183.97
201	16	00085	1	01	139.09
201	16	00085	2	02	139.09
201	16	00085	2	03	139.09
201	16	00086	1	01	150.48
201	16	00086	1	02	150.48
201	16	00086	1	03	150.48
201	16	00086	2	04	150.48
201	16	00087	1	01	61.47
201	16	00087	2	02	61.47
201	16	00088	1	01	178.83
201	16	00088	2	02	178.83
201	16	00089	1	01	176.02
201	16	00090	1	01	195.15
201	16	00090	1	02	195.15
201	16	00091	1	01	215.24
201	16	00092	1	01	215.24
201	16	00093	1	01	285.96
201	16	00094	1	01	195.15
201	16	00094	1	02	195.15
201	16	00095	1	01	285.96
201	16	00096	1	01	165.13
201	16	00096	1	02	165.13
201	16	00096	2	03	165.13
201	16	00097	1	01	161.02
201	16	00098	1	01	130.84
201	16	00098	1	02	130.84
201	16	00098	2	03	130.84
201	16	00098	2	04	130.84
201	16	00099	1	01	184.01
201	16	00099	1	02	184.01
201	16	00099	1	03	184.01
201	16	00100	1	01	124.61
201	16	00101	1	01	136.21
201	16	00101	1	02	136.21
201	16	00101	2	03	136.21
201	16	00101	2	04	136.21
201	16	00102	1	01	215.24
201	16	00103	1	01	125.84
201	16	00103	1	02	125.84
201	16	00103	1	03	125.84
201	16	00103	2	04	125.84
201	16	00104	1	01	195.15
201	16	00104	1	02	195.15
201	16	00105	1	01	195.15
201	16	00105	1	02	195.15
201	16	00106	1	01	143.05
201	16	00106	1	02	143.05
201	16	00107	1	01	143.05
201	16	00107	1	02	143.05
201	16	00108	1	01	145.58
201	16	00109	1	01	293.42
201	16	00109	1	02	293.42
201	16	00109	1	03	293.42
201	16	00110	1	01	195.15
201	16	00110	1	02	195.15
201	16	00111	1	01	153.88
201	16	00111	1	02	153.88
201	16	00112	1	01	195.15
201	16	00112	1	02	195.15
201	16	00113	1	01	136.33
201	16	00113	1	02	136.33
201	16	00113	2	03	136.33
201	16	00113	2	04	136.33
201	16	00114	1	01	307.7
201	16	00114	1	02	307.7
201	16	00114	1	03	307.7
201	16	00115	1	01	259.33
201	16	00115	1	02	259.33
201	16	00115	1	03	259.33
201	16	00116	1	01	229.64
201	16	00116	1	02	229.64
201	16	00117	1	01	243.74
201	16	00117	1	02	243.74
201	16	00117	1	03	243.74
201	16	00117	1	04	243.74
201	16	00118	1	01	195.15
201	16	00118	1	02	195.15
201	16	00119	1	01	267.68
201	16	00119	1	02	267.68
201	16	00119	2	03	267.68
201	16	00120	1	01	257.03
201	16	00120	1	02	257.03
201	16	00120	1	03	257.03
201	16	00121	1	01	153.88
201	16	00121	1	02	153.88
201	16	00122	1	01	271.79
201	16	00122	1	02	271.79
201	16	00123	1	01	136.19
201	16	00123	1	02	136.19
201	16	00123	2	03	136.19
201	16	00123	2	04	136.19
201	16	00124	1	01	143.05
201	16	00124	1	02	143.05
201	16	00125	1	01	101.03
201	16	00125	1	02	101.03
201	16	00125	2	03	101.03
201	16	00125	2	04	101.03
201	16	00126	1	01	194.42
201	16	00126	1	02	194.42
201	16	00126	1	03	194.42
201	16	00127	1	01	156.09
201	16	00127	1	02	156.09
201	16	00127	1	03	156.09
201	16	00128	1	01	139.8
201	16	00128	1	02	139.8
201	16	00128	1	03	139.8
201	16	00128	1	04	139.8
201	16	00129	1	01	156.4
201	16	00129	1	02	156.4
201	16	00129	1	03	156.4
201	16	00129	1	04	156.4
201	16	00130	1	01	147.62
201	16	00130	1	02	147.62
201	16	00131	1	01	440
201	16	00131	1	02	440
201	16	00131	1	03	440
201	16	00131	1	04	440
201	16	00131	1	05	440
201	16	00131	1	06	440
201	16	00131	2	07	440
201	16	00131	2	08	440
201	16	00132	1	01	158.1
201	16	00132	1	02	158.1
201	16	00133	1	01	297.54
201	16	00133	1	02	297.54
201	16	00134	1	01	141.83
201	16	00135	1	01	161.02
201	16	00136	1	01	195.15
201	16	00136	1	02	195.15
201	16	00137	1	01	215.24
201	16	00138	1	01	99.44
201	16	00138	1	02	99.44
201	16	00138	2	03	99.44
201	16	00139	1	01	195.15
201	16	00139	1	02	195.15
201	16	00140	1	01	252.86
201	16	00140	1	02	252.86
201	16	00140	1	03	252.86
201	16	00141	1	01	143.05
201	16	00141	1	02	143.05
201	16	00142	1	01	215.24
201	16	00143	1	01	213.73
201	16	00143	1	02	213.73
201	16	00144	1	01	204.24
201	16	00144	1	02	204.24
201	16	00144	1	03	204.24
201	16	00145	1	01	117.44
201	16	00145	1	02	117.44
201	16	00145	2	03	117.44
201	16	00145	2	04	117.44
201	16	00146	1	01	215.24
201	16	00147	1	01	195.15
201	16	00147	1	02	195.15
201	16	00148	1	01	559.18
201	16	00149	1	01	249.78
201	16	00149	1	02	249.78
201	16	00149	2	03	249.78
201	16	00150	1	01	141.83
201	16	00151	1	01	316.14
201	16	00151	1	02	316.14
201	16	00152	1	01	233.55
201	16	00152	1	02	233.55
201	16	00152	1	03	233.55
201	16	00153	1	01	316.14
201	16	00153	1	02	316.14
201	16	00154	1	01	399.41
201	16	00154	1	02	399.41
201	16	00154	1	03	399.41
201	16	00155	1	01	194.78
201	16	00155	1	02	194.78
201	16	00155	2	03	194.78
201	16	00156	1	01	231.53
201	16	00156	1	02	231.53
201	16	00156	2	03	231.53
201	16	00157	1	01	348.7
201	16	00158	1	01	316.14
201	16	00158	1	02	316.14
201	16	00159	1	01	214.97
201	16	00160	1	01	316.14
201	16	00160	1	02	316.14
201	16	00161	1	01	231.74
201	16	00161	1	02	231.74
201	16	00162	1	01	273.08
201	16	00162	1	02	273.08
201	16	00162	1	03	273.08
201	16	00162	1	04	273.08
201	16	00162	1	05	273.08
201	16	00162	2	06	273.08
201	16	00163	1	01	271.59
201	16	00164	1	01	292.73
201	16	00164	1	02	292.73
201	16	00165	1	01	346.86
201	16	00165	1	02	346.86
201	16	00165	1	03	346.86
201	16	00165	1	04	346.86
201	16	00166	1	01	330.77
201	16	00166	1	02	330.77
201	16	00166	2	03	330.77
201	16	00167	1	01	499.11
201	16	00167	1	02	499.11
201	16	00168	1	01	151.76
201	16	00168	1	02	151.76
201	16	00168	2	03	151.76
201	16	00168	2	04	151.76
201	16	00169	1	01	271.59
201	16	00170	1	01	330.85
201	16	00170	1	02	330.85
201	16	00171	1	01	322.87
201	16	00172	1	01	414.47
201	16	00173	1	01	216
201	16	00173	1	02	216
201	16	00173	1	03	216
201	16	00173	2	04	216
201	16	00174	1	01	292.73
201	16	00174	1	02	292.73
201	16	00175	1	01	292.73
201	16	00175	1	02	292.73
201	16	00176	1	01	322.87
201	16	00177	1	01	219.39
201	16	00178	1	01	209.6
201	16	00178	2	02	209.6
201	16	00178	2	03	209.6
201	16	00179	1	01	322.87
201	16	00180	1	01	315.05
201	16	00180	1	02	315.05
201	16	00181	1	01	385.21
201	16	00181	1	02	385.21
201	16	00181	1	03	385.21
201	16	00182	1	01	214.57
201	16	00182	1	02	214.57
201	16	00183	1	01	292.73
201	16	00183	1	02	292.73
201	16	00184	1	01	231.74
201	16	00184	1	02	231.74
201	16	00185	1	01	348.7
201	16	00186	1	01	348.7
201	16	00187	1	01	236.94
201	16	00188	1	01	233.28
201	16	00188	1	02	233.28
201	16	00188	1	03	233.28
201	16	00188	2	04	233.28
201	16	00189	1	01	348.7
201	16	00190	1	01	32.53
201	16	00190	2	02	32.53
201	16	00190	2	03	32.53
201	16	00191	1	01	214.97
201	16	00192	1	01	341.77
201	16	00192	1	02	341.77
201	16	00192	1	03	341.77
201	16	00193	1	01	442.66
201	16	00193	1	02	442.66
201	16	00193	1	03	442.66
201	16	00194	1	01	316.14
201	16	00194	1	02	316.14
201	16	00195	1	01	369.82
