"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
197	16	00001	1	01	182.22
197	16	00002	1	01	153.96
197	16	00002	1	02	153.96
197	16	00002	2	03	153.96
197	16	00003	1	01	239.87
197	16	00003	1	02	239.87
197	16	00003	1	03	239.87
197	16	00003	1	04	239.87
197	16	00004	1	01	170.09
197	16	00004	1	02	170.09
197	16	00005	1	01	196.66
197	16	00005	1	02	196.66
197	16	00005	1	03	196.66
197	16	00006	1	01	142.86
197	16	00006	1	02	142.86
197	16	00006	2	03	142.86
197	16	00007	1	01	231.43
197	16	00008	1	01	197.52
197	16	00008	1	02	197.52
197	16	00008	2	03	197.52
197	16	00008	2	04	197.52
197	16	00008	2	05	197.52
197	16	00009	1	01	184.86
197	16	00009	1	02	184.86
197	16	00010	1	01	188.11
197	16	00010	1	02	188.11
197	16	00010	1	03	188.11
197	16	00011	1	01	130.67
197	16	00011	1	02	130.67
197	16	00011	2	03	130.67
197	16	00011	2	04	130.67
197	16	00012	1	01	557.32
197	16	00012	1	02	557.32
197	16	00012	1	03	557.32
197	16	00013	1	01	182.22
197	16	00014	1	01	203.07
197	16	00014	1	02	203.07
197	16	00014	2	03	203.07
197	16	00015	1	01	130.96
197	16	00015	1	02	130.96
197	16	00015	2	03	130.96
197	16	00016	1	01	148.52
197	16	00017	1	01	195.59
197	16	00018	1	01	170.8
197	16	00018	1	02	170.8
197	16	00019	1	01	149.82
197	16	00020	1	01	203.37
197	16	00020	1	02	203.37
197	16	00020	2	03	203.37
197	16	00020	2	04	203.37
197	16	00020	2	05	203.37
197	16	00021	1	01	199.69
197	16	00021	1	02	199.69
197	16	00021	1	03	199.69
197	16	00022	1	01	306.51
197	16	00022	1	02	306.51
197	16	00022	1	03	306.51
197	16	00023	1	01	152.63
197	16	00023	1	02	152.63
197	16	00024	1	01	182.22
197	16	00025	1	01	186.29
197	16	00025	1	02	186.29
197	16	00026	1	01	151.24
197	16	00027	1	01	186.29
197	16	00027	1	02	186.29
197	16	00028	1	01	132.97
197	16	00028	1	02	132.97
197	16	00028	2	03	132.97
197	16	00029	1	01	288.28
197	16	00030	1	01	145.66
197	16	00030	1	02	145.66
197	16	00030	2	03	145.66
197	16	00031	1	01	122.79
197	16	00031	2	02	122.79
197	16	00031	2	03	122.79
197	16	00032	1	01	231.43
197	16	00033	1	01	227.41
197	16	00033	1	02	227.41
197	16	00034	1	01	143.22
197	16	00034	1	02	143.22
197	16	00034	2	03	143.22
197	16	00035	1	01	231.43
197	16	00036	1	01	187.2
197	16	00036	1	02	187.2
197	16	00036	1	03	187.2
197	16	00036	2	04	187.2
197	16	00037	1	01	151.24
197	16	00038	1	01	155.71
197	16	00038	1	02	155.71
197	16	00038	1	03	155.71
197	16	00038	2	04	155.71
197	16	00039	1	01	132.97
197	16	00039	1	02	132.97
197	16	00039	2	03	132.97
197	16	00040	1	01	231.43
197	16	00041	1	01	153.51
197	16	00041	1	02	153.51
197	16	00041	2	03	153.51
197	16	00041	2	04	153.51
197	16	00042	1	01	320.99
197	16	00043	1	01	512.06
197	16	00043	2	02	512.06
197	16	00043	1	03	512.06
197	16	00043	1	04	512.06
197	16	00043	1	05	512.06
197	16	00043	1	06	512.06
197	16	00044	1	01	456.37
197	16	00045	1	01	339.52
197	16	00045	1	02	339.52
197	16	00045	1	03	339.52
197	16	00045	1	04	339.52
197	16	00045	1	05	339.52
197	16	00046	1	01	205.76
197	16	00046	1	02	205.76
197	16	00046	2	03	205.76
197	16	00046	2	04	205.76
197	16	00046	2	05	205.76
197	16	00046	2	06	205.76
197	16	00047	1	01	270.43
197	16	00047	1	02	270.43
197	16	00047	1	03	270.43
197	16	00048	1	01	219.84
197	16	00048	1	02	219.84
197	16	00048	1	03	219.84
197	16	00048	2	04	219.84
197	16	00048	2	05	219.84
197	16	00049	1	01	204
197	16	00049	1	02	204
197	16	00049	1	03	204
197	16	00050	1	01	139.63
197	16	00050	1	02	139.63
197	16	00050	2	03	139.63
197	16	00050	2	04	139.63
197	16	00051	1	01	149.82
197	16	00052	1	01	190.5
197	16	00053	1	01	204.82
197	16	00053	1	02	204.82
197	16	00053	1	03	204.82
197	16	00054	1	01	204.82
197	16	00054	1	02	204.82
197	16	00054	1	03	204.82
197	16	00055	1	01	186.29
197	16	00055	1	02	186.29
197	16	00056	1	01	243.78
197	16	00056	1	02	243.78
197	16	00056	1	03	243.78
197	16	00057	1	01	186.29
197	16	00057	1	02	186.29
197	16	00058	1	01	186.29
197	16	00058	1	02	186.29
197	16	00059	1	01	186.29
197	16	00059	1	02	186.29
197	16	00060	1	01	191.09
197	16	00061	1	01	217.22
197	16	00061	1	02	217.22
197	16	00062	1	01	186.29
197	16	00062	1	02	186.29
197	16	00063	1	01	153.33
197	16	00063	1	02	153.33
197	16	00064	1	01	183.14
197	16	00064	1	03	183.14
197	16	00065	1	01	186.23
197	16	00065	1	02	186.23
197	16	00065	2	03	186.23
197	16	00066	1	01	250.51
197	16	00066	1	02	250.51
197	16	00066	1	03	250.51
197	16	00067	1	01	195.59
197	16	00068	1	01	230.6
197	16	00068	1	02	230.6
197	16	00068	1	03	230.6
197	16	00069	1	01	182.22
197	16	00070	1	01	184.86
197	16	00070	1	02	184.86
197	16	00071	1	01	186.29
197	16	00071	1	02	186.29
197	16	00072	1	01	186.29
197	16	00072	1	02	186.29
197	16	00073	1	02	186.29
197	16	00073	1	03	186.29
197	16	00074	1	01	170.09
197	16	00074	1	02	170.09
197	16	00075	1	01	124.36
197	16	00075	1	02	124.36
197	16	00075	2	03	124.36
197	16	00075	2	04	124.36
197	16	00076	1	01	186.29
197	16	00076	1	02	186.29
197	16	00077	1	01	161.98
197	16	00077	1	02	161.98
197	16	00078	1	01	193.66
197	16	00078	1	02	193.66
197	16	00078	1	03	193.66
197	16	00078	2	04	193.66
197	16	00079	1	01	229.62
197	16	00079	1	02	229.62
197	16	00079	1	04	229.62
197	16	00080	1	01	240.96
197	16	00080	1	02	240.96
197	16	00080	1	03	240.96
197	16	00081	1	01	149.79
197	16	00081	1	02	149.79
197	16	00081	2	03	149.79
197	16	00081	2	04	149.79
197	16	00082	1	01	186.29
197	16	00082	1	02	186.29
197	16	00083	1	01	210.32
197	16	00083	1	02	210.32
197	16	00084	1	01	186.29
197	16	00084	1	02	186.29
197	16	00085	1	01	186.29
197	16	00085	1	02	186.29
197	16	00086	1	01	152.63
197	16	00086	1	02	152.63
197	16	00087	1	01	182.22
197	16	00088	1	01	186.29
197	16	00088	1	02	186.29
197	16	00089	1	01	152.63
197	16	00089	1	02	152.63
197	16	00090	1	01	182.22
197	16	00091	1	01	196.21
197	16	00091	1	02	196.21
197	16	00091	1	03	196.21
197	16	00092	1	01	170.09
197	16	00092	1	02	170.09
197	16	00093	1	01	105.99
197	16	00093	1	02	105.99
197	16	00093	2	03	105.99
197	16	00093	2	04	105.99
197	16	00094	1	01	239.47
197	16	00094	1	02	239.47
197	16	00095	1	01	186.29
197	16	00095	1	02	186.29
197	16	00096	1	01	255.54
197	16	00096	1	02	255.54
197	16	00096	1	03	255.54
197	16	00096	2	04	255.54
197	16	00096	1	05	255.54
197	16	00097	1	01	206.76
197	16	00097	1	02	206.76
197	16	00097	1	03	206.76
197	16	00097	1	04	206.76
197	16	00098	1	01	182.22
197	16	00099	1	01	152.63
197	16	00099	1	02	152.63
197	16	00100	1	01	171.65
197	16	00100	1	02	171.65
197	16	00100	1	03	171.65
197	16	00100	1	04	171.65
197	16	00101	1	01	186.29
197	16	00101	1	02	186.29
197	16	00102	1	01	186.29
197	16	00102	1	02	186.29
197	16	00103	1	01	183.22
197	16	00103	1	02	183.22
197	16	00103	1	03	183.22
197	16	00103	1	04	183.22
197	16	00104	1	01	218.52
197	16	00104	1	02	218.52
