"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
204	16	00001	1	01	180.65
204	16	00002	1	01	177.97
204	16	00002	1	02	177.97
204	16	00002	1	03	177.97
204	16	00003	1	01	175.96
204	16	00004	1	01	180.65
204	16	00005	1	01	204
204	16	00005	1	02	204
204	16	00005	1	03	204
204	16	00005	1	04	204
204	16	00006	1	01	103.96
204	16	00007	1	01	281.73
204	16	00007	1	02	281.73
204	16	00007	2	03	281.73
204	16	00008	1	01	77.16
204	16	00009	1	01	274.47
204	16	00009	1	02	274.47
204	16	00010	1	01	142.54
204	16	00010	2	02	142.54
204	16	00010	2	03	142.54
204	16	00011	1	01	199.6
204	16	00011	1	02	199.6
204	16	00011	1	04	199.6
204	16	00012	1	01	189.87
204	16	00012	1	02	189.87
204	16	00012	2	03	189.87
204	16	00013	1	01	72.44
204	16	00013	1	02	72.44
204	16	00013	2	03	72.44
204	16	00014	1	01	112.62
204	16	00014	1	02	112.62
204	16	00014	1	03	112.62
204	16	00014	2	04	112.62
204	16	00015	1	01	110.06
204	16	00015	2	02	110.06
204	16	00016	1	01	231.06
204	16	00017	1	01	169.53
204	16	00017	1	02	169.53
204	16	00017	1	03	169.53
204	16	00017	2	04	169.53
204	16	00018	1	01	195.06
204	16	00018	1	02	195.06
204	16	00019	1	01	195.06
204	16	00019	1	02	195.06
204	16	00020	1	01	175.72
204	16	00020	1	02	175.72
204	16	00021	1	01	175.72
204	16	00021	1	02	175.72
204	16	00022	1	01	103.96
204	16	00023	1	01	231.06
204	16	00024	1	01	267.3
204	16	00024	1	02	267.3
204	16	00024	1	03	267.3
204	16	00025	1	01	195.06
204	16	00025	1	02	195.06
204	16	00026	1	01	175.72
204	16	00026	1	02	175.72
204	16	00027	1	01	195.06
204	16	00027	1	02	195.06
204	16	00028	1	01	136.38
204	16	00028	1	02	136.38
204	16	00028	2	03	136.38
204	16	00028	2	04	136.38
204	16	00029	1	01	210.81
204	16	00029	1	02	210.81
204	16	00029	1	03	210.81
204	16	00030	1	01	244.98
204	16	00030	1	02	244.98
204	16	00030	1	03	244.98
204	16	00031	1	01	258.81
204	16	00031	1	02	258.81
204	16	00032	1	01	231.22
204	16	00032	1	02	231.22
204	16	00032	1	03	231.22
204	16	00032	1	04	231.22
204	16	00033	1	01	195.06
204	16	00033	1	02	195.06
204	16	00034	1	01	294.91
204	16	00034	1	02	294.91
204	16	00034	2	03	294.91
204	16	00035	1	01	551.57
204	16	00036	1	01	270.98
204	16	00037	1	01	291.59
204	16	00037	1	02	291.59
204	16	00037	2	03	291.59
204	16	00037	2	04	291.59
204	16	00038	1	01	185.02
204	16	00038	1	02	185.02
204	16	00038	1	03	185.02
204	16	00038	2	04	185.02
204	16	00039	1	01	202.05
204	16	00039	1	02	202.05
204	16	00039	2	03	202.05
204	16	00039	2	04	202.05
204	16	00040	1	01	106.3
204	16	00040	1	02	106.3
204	16	00040	2	03	106.3
204	16	00040	2	04	106.3
204	16	00041	1	01	346.6
204	16	00042	1	01	263.78
204	16	00042	1	02	263.78
204	16	00042	2	03	263.78
204	16	00043	1	01	532.23
204	16	00043	1	02	532.23
204	16	00044	1	01	379.89
204	16	00044	1	02	379.89
204	16	00045	1	01	244.32
204	16	00045	1	02	244.32
204	16	00045	2	03	244.32
204	16	00045	2	04	244.32
204	16	00046	1	01	369.35
204	16	00047	1	01	155.94
204	16	00048	1	01	324.86
204	16	00048	1	02	324.86
204	16	00048	1	03	324.86
204	16	00048	1	04	324.86
204	16	00048	2	05	324.86
204	16	00049	1	01	228.52
204	16	00049	1	02	228.52
204	16	00049	2	03	228.52
204	16	00049	2	04	228.52
204	16	00050	1	01	289.92
204	16	00050	1	02	289.92
204	16	00051	1	01	292.6
204	16	00051	1	02	292.6
204	16	00052	1	01	243.77
204	16	00052	1	02	243.77
204	16	00053	1	01	296.32
204	16	00053	1	02	296.32
204	16	00053	1	03	296.32
204	16	00054	1	01	292.6
204	16	00054	1	02	292.6
204	16	00055	1	01	292.6
