"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
203	16	00001	1	01	130.45
203	16	00001	1	02	130.45
203	16	00001	1	03	130.45
203	16	00001	1	04	130.45
203	16	00002	1	01	145.43
203	16	00002	1	02	145.43
203	16	00002	2	03	145.43
203	16	00002	2	04	145.43
203	16	00003	1	01	166.42
203	16	00004	1	01	144.47
203	16	00004	1	02	144.47
203	16	00005	1	01	248.5
203	16	00005	1	02	248.5
203	16	00006	1	01	173.51
203	16	00006	1	02	173.51
203	16	00006	2	03	173.51
203	16	00007	1	01	314.81
203	16	00008	1	01	118.59
203	16	00008	2	02	118.59
203	16	00009	1	01	258.24
203	16	00009	1	02	258.24
203	16	00009	2	03	258.24
203	16	00009	2	04	258.24
203	16	00009	2	05	258.24
203	16	00009	2	06	258.24
203	16	00009	2	07	258.24
203	16	00010	1	01	309.62
203	16	00011	1	01	209.07
203	16	00011	1	02	209.07
203	16	00011	2	03	209.07
203	16	00012	1	01	167.06
203	16	00013	1	01	248.5
203	16	00013	1	02	248.5
203	16	00014	1	01	291.38
203	16	00014	1	02	291.38
203	16	00015	1	01	231.59
203	16	00015	1	02	231.59
203	16	00015	2	03	231.59
203	16	00016	1	01	293.34
203	16	00016	1	02	293.34
203	16	00016	1	03	293.34
203	16	00016	1	04	293.34
203	16	00017	1	01	133.72
203	16	00017	1	02	133.72
203	16	00017	1	03	133.72
203	16	00017	1	04	133.72
203	16	00018	1	01	167.06
203	16	00019	1	01	224.27
203	16	00020	1	01	236.22
203	16	00021	1	01	216.07
203	16	00021	1	02	216.07
203	16	00022	1	01	179.36
203	16	00022	1	02	179.36
203	16	00023	1	01	179.36
203	16	00023	1	02	179.36
203	16	00024	1	01	100.58
203	16	00024	1	02	100.58
203	16	00024	2	03	100.58
203	16	00025	1	01	115.83
203	16	00025	1	02	115.83
203	16	00025	2	03	115.83
203	16	00025	2	04	115.83
203	16	00026	1	01	86.72
203	16	00026	1	02	86.72
203	16	00026	1	03	86.72
203	16	00026	2	04	86.72
203	16	00027	1	01	179.36
203	16	00027	1	02	179.36
203	16	00028	1	01	197.55
203	16	00028	1	02	197.55
203	16	00028	2	03	197.55
203	16	00028	2	04	197.55
203	16	00028	2	05	197.55
203	16	00029	1	01	154.5
203	16	00029	1	02	154.5
203	16	00029	2	03	154.5
203	16	00029	2	04	154.5
203	16	00030	1	01	179.36
203	16	00030	1	02	179.36
203	16	00031	1	01	110.35
203	16	00032	1	01	191.27
203	16	00032	1	02	191.27
203	16	00032	1	03	191.27
203	16	00033	1	01	102.19
203	16	00034	1	01	236.22
203	16	00035	1	01	195.39
203	16	00035	1	02	195.39
203	16	00035	1	03	195.39
203	16	00035	1	04	195.39
203	16	00035	2	05	195.39
203	16	00036	1	01	179.36
203	16	00036	1	02	179.36
203	16	00037	1	01	236.46
203	16	00037	1	02	236.46
203	16	00037	1	03	236.46
203	16	00038	1	01	167.06
203	16	00039	1	01	167.06
203	16	00040	1	01	218.05
203	16	00040	1	02	218.05
203	16	00040	1	03	218.05
203	16	00041	1	01	179.24
203	16	00042	1	01	167.06
203	16	00043	1	01	202.58
203	16	00043	1	02	202.58
203	16	00043	1	03	202.58
203	16	00043	1	04	202.58
203	16	00044	1	01	110.35
203	16	00045	1	01	116.42
203	16	00046	1	01	319.77
203	16	00046	1	02	319.77
203	16	00047	1	01	112.42
203	16	00047	2	02	112.42
203	16	00047	2	03	112.42
203	16	00048	1	01	193.08
203	16	00048	1	02	193.08
203	16	00048	1	04	193.08
203	16	00049	1	01	168.92
203	16	00049	1	02	168.92
203	16	00049	2	03	168.92
203	16	00050	1	01	57.42
203	16	00050	1	02	57.42
203	16	00050	2	03	57.42
203	16	00051	1	01	103.33
203	16	00051	1	02	103.33
203	16	00051	1	03	103.33
203	16	00051	2	04	103.33
203	16	00052	1	01	121.05
203	16	00052	2	02	121.05
203	16	00053	1	01	236.22
203	16	00054	1	01	160.04
203	16	00054	1	02	160.04
203	16	00054	1	03	160.04
203	16	00054	2	04	160.04
203	16	00055	1	01	179.36
203	16	00055	1	02	179.36
203	16	00056	1	01	179.36
203	16	00056	1	02	179.36
203	16	00057	1	01	144.47
203	16	00057	1	02	144.47
203	16	00058	1	01	151.58
203	16	00058	1	02	151.58
203	16	00059	1	01	110.35
203	16	00060	1	01	236.22
203	16	00061	1	01	272.26
203	16	00061	1	02	272.26
203	16	00061	1	03	272.26
203	16	00062	1	01	179.36
203	16	00062	1	02	179.36
203	16	00063	1	01	144.47
203	16	00063	1	02	144.47
203	16	00064	1	01	179.36
203	16	00064	1	02	179.36
203	16	00065	1	01	133.15
203	16	00065	1	02	133.15
203	16	00065	2	03	133.15
203	16	00065	2	04	133.15
203	16	00066	1	01	244.25
203	16	00066	1	02	244.25
203	16	00066	1	03	244.25
203	16	00067	1	01	234.73
203	16	00067	1	02	234.73
203	16	00067	1	03	234.73
203	16	00068	1	01	246.37
203	16	00068	1	02	246.37
203	16	00069	1	01	232.81
203	16	00069	1	02	232.81
203	16	00069	1	03	232.81
203	16	00069	1	04	232.81
203	16	00070	1	01	263.15
203	16	00070	1	02	263.15
203	16	00070	2	03	263.15
203	16	00071	1	01	188.33
203	16	00071	1	02	188.33
203	16	00071	1	03	188.33
203	16	00072	1	01	179.36
203	16	00072	1	02	179.36
203	16	00073	1	01	242.06
203	16	00073	1	02	242.06
203	16	00074	1	01	133.72
203	16	00074	1	02	133.72
203	16	00074	2	03	133.72
203	16	00074	2	04	133.72
203	16	00075	1	01	151.58
203	16	00075	1	02	151.58
203	16	00076	1	01	162.47
203	16	00077	1	01	108.06
203	16	00077	1	02	108.06
203	16	00077	2	03	108.06
203	16	00077	2	04	108.06
203	16	00078	1	01	206.2
203	16	00078	1	02	206.2
203	16	00078	1	03	206.2
203	16	00079	1	01	189.75
203	16	00079	1	02	189.75
203	16	00079	1	03	189.75
203	16	00080	1	01	175.11
203	16	00080	1	02	175.11
203	16	00080	1	03	175.11
203	16	00080	1	04	175.11
203	16	00081	1	01	247.96
203	16	00081	1	02	247.96
203	16	00081	1	03	247.96
203	16	00081	1	04	247.96
203	16	00082	1	01	157.99
203	16	00082	1	02	157.99
203	16	00083	1	01	451.19
203	16	00083	1	02	451.19
203	16	00083	1	03	451.19
203	16	00083	1	04	451.19
203	16	00083	1	05	451.19
203	16	00083	1	06	451.19
203	16	00083	2	07	451.19
203	16	00083	2	08	451.19
203	16	00084	1	01	154.96
203	16	00084	1	02	154.96
203	16	00085	1	01	240.37
203	16	00085	1	02	240.37
203	16	00086	1	01	179.24
203	16	00087	1	01	162.47
203	16	00088	1	01	179.36
203	16	00088	1	02	179.36
203	16	00089	1	01	325.01
203	16	00089	1	02	325.01
203	16	00089	2	03	325.01
203	16	00089	2	04	325.01
203	16	00090	1	01	248.2
203	16	00090	1	02	248.2
203	16	00091	1	01	269.05
203	16	00091	1	02	269.05
203	16	00092	1	01	287.62
203	16	00092	1	02	287.62
203	16	00092	1	03	287.62
203	16	00093	1	01	268.87
203	16	00094	1	01	269.05
203	16	00094	1	02	269.05
203	16	00095	1	01	269.05
203	16	00095	1	02	269.05
203	16	00096	1	01	269.05
203	16	00096	1	02	269.05
203	16	00097	1	01	216.7
203	16	00097	1	02	216.7
203	16	00098	1	01	238.57
203	16	00098	1	02	238.57
203	16	00098	1	03	238.57
203	16	00099	1	01	300.19
203	16	00099	1	02	300.19
203	16	00099	1	03	300.19
203	16	00099	1	04	300.19
203	16	00100	1	01	343.69
203	16	00100	1	02	343.69
203	16	00100	1	03	343.69
203	16	00100	1	04	343.69
203	16	00100	1	05	343.69
203	16	00100	2	06	343.69
203	16	00101	1	01	250.59
203	16	00102	1	01	269.05
203	16	00102	1	02	269.05
203	16	00103	1	01	296.31
203	16	00103	1	02	296.31
203	16	00103	1	03	296.31
203	16	00103	1	04	296.31
203	16	00104	1	01	293.87
203	16	00104	1	02	293.87
203	16	00104	2	03	293.87
