"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
199	16	00001	1	01	180.44
199	16	00001	1	02	180.44
199	16	00001	1	03	180.44
199	16	00001	2	04	180.44
199	16	00002	1	01	113.79
199	16	00002	1	02	113.79
199	16	00002	2	03	113.79
199	16	00002	2	04	113.79
199	16	00003	1	01	114.7
199	16	00004	1	01	180.02
199	16	00004	1	02	180.02
199	16	00005	1	01	245.32
199	16	00005	1	02	245.32
199	16	00006	1	01	192.78
199	16	00006	1	02	192.78
199	16	00006	2	03	192.78
199	16	00007	1	01	320.4
199	16	00008	1	01	269.27
199	16	00008	2	02	269.27
199	16	00009	1	01	196.8
199	16	00009	1	02	196.8
199	16	00009	2	03	196.8
199	16	00009	2	04	196.8
199	16	00009	2	05	196.8
199	16	00009	2	06	196.8
199	16	00009	2	07	196.8
199	16	00010	1	01	179.78
199	16	00011	1	01	149.53
199	16	00011	1	02	149.53
199	16	00011	2	03	149.53
199	16	00012	1	01	153.47
199	16	00013	1	01	256.73
199	16	00013	1	02	256.73
199	16	00014	1	01	225.25
199	16	00014	1	02	225.25
199	16	00014	2	03	225.25
199	16	00015	1	01	367.45
199	16	00015	1	02	367.45
199	16	00015	1	03	367.45
199	16	00015	1	04	367.45
199	16	00016	1	01	197.87
199	16	00016	1	02	197.87
199	16	00016	1	03	197.87
199	16	00016	2	04	197.87
199	16	00017	1	01	153.47
199	16	00018	1	01	180.02
199	16	00018	1	02	180.02
199	16	00019	1	01	195.76
199	16	00020	1	01	212.62
199	16	00020	1	02	212.62
199	16	00020	2	03	212.62
199	16	00020	2	04	212.62
199	16	00020	2	05	212.62
199	16	00021	1	01	208.9
199	16	00021	1	02	208.9
199	16	00021	1	03	208.9
199	16	00021	1	04	208.9
199	16	00022	1	01	275.73
199	16	00022	1	02	275.73
199	16	00022	1	03	275.73
199	16	00023	1	01	179.26
199	16	00023	1	02	179.26
199	16	00024	1	01	195.76
199	16	00025	1	01	199.67
199	16	00025	1	02	199.67
199	16	00026	1	01	114.7
199	16	00027	1	01	199.67
199	16	00027	1	02	199.67
199	16	00028	1	01	70.36
199	16	00028	1	02	70.36
199	16	00028	2	03	70.36
199	16	00028	2	04	70.36
199	16	00029	1	01	196.94
199	16	00030	1	01	151.22
199	16	00030	1	02	151.22
199	16	00030	2	03	151.22
199	16	00031	1	01	155.97
199	16	00031	2	02	155.97
199	16	00031	2	03	155.97
199	16	00032	1	01	179.78
199	16	00033	1	01	191.47
199	16	00033	1	02	191.47
199	16	00034	1	01	194.44
199	16	00034	1	02	194.44
199	16	00034	2	03	194.44
199	16	00035	1	01	179.78
199	16	00036	1	01	152.94
199	16	00036	1	02	152.94
199	16	00036	1	03	152.94
199	16	00036	2	04	152.94
199	16	00037	1	01	156.47
199	16	00038	1	01	136.29
199	16	00038	1	02	136.29
199	16	00038	1	03	136.29
199	16	00038	2	04	136.29
199	16	00039	1	01	192.94
199	16	00039	2	02	192.94
199	16	00040	1	01	161.04
199	16	00040	1	02	161.04
199	16	00040	2	03	161.04
199	16	00041	1	01	220.36
199	16	00042	1	01	174.25
199	16	00042	1	02	174.25
199	16	00042	1	03	174.25
199	16	00043	1	01	444.66
199	16	00043	2	02	444.66
199	16	00043	1	03	444.66
199	16	00043	1	04	444.66
199	16	00043	1	05	444.66
199	16	00043	1	06	444.66
199	16	00044	1	01	340.18
199	16	00045	1	01	307.96
199	16	00045	1	02	307.96
199	16	00045	1	03	307.96
199	16	00045	1	04	307.96
199	16	00045	1	05	307.96
199	16	00046	1	01	168.96
199	16	00046	1	02	168.96
199	16	00046	2	03	168.96
199	16	00046	2	04	168.96
199	16	00046	2	05	168.96
199	16	00046	2	06	168.96
199	16	00047	1	01	219.85
199	16	00047	1	02	219.85
199	16	00047	1	03	219.85
199	16	00048	1	01	185.9
199	16	00048	1	02	185.9
199	16	00048	1	03	185.9
199	16	00048	2	04	185.9
199	16	00048	2	05	185.9
199	16	00049	1	01	182.09
199	16	00049	1	02	182.09
199	16	00049	1	03	182.09
199	16	00050	1	01	136.92
199	16	00050	1	02	136.92
199	16	00050	2	03	136.92
199	16	00050	2	04	136.92
199	16	00051	1	01	156.47
199	16	00052	1	01	186.17
199	16	00053	1	01	206.06
199	16	00053	1	02	206.06
199	16	00053	1	03	206.06
199	16	00054	1	01	206.06
199	16	00054	1	02	206.06
199	16	00054	1	03	206.06
199	16	00055	1	01	213.2
199	16	00055	1	02	213.2
199	16	00056	1	01	195.76
199	16	00057	1	01	191.68
199	16	00057	1	02	191.68
199	16	00058	1	01	199.67
199	16	00058	1	02	199.67
199	16	00059	1	01	199.67
199	16	00059	1	02	199.67
199	16	00060	1	01	141.65
199	16	00060	1	02	141.65
199	16	00060	2	03	141.65
199	16	00061	1	01	157.99
199	16	00061	1	02	157.99
199	16	00061	2	03	157.99
199	16	00061	2	04	157.99
199	16	00062	1	01	107.08
199	16	00062	2	02	107.08
199	16	00062	2	03	107.08
199	16	00062	2	04	107.08
199	16	00063	1	01	199.67
199	16	00063	1	02	199.67
199	16	00064	1	01	116.49
199	16	00064	1	02	116.49
199	16	00064	2	03	116.49
199	16	00064	2	04	116.49
199	16	00064	2	05	116.49
199	16	00065	1	01	106.82
199	16	00065	1	02	106.82
199	16	00065	2	03	106.82
199	16	00065	2	04	106.82
199	16	00066	1	01	199.67
199	16	00066	1	02	199.67
199	16	00067	1	01	236.23
199	16	00068	1	01	224.92
199	16	00068	1	02	224.92
199	16	00068	1	03	224.92
199	16	00069	1	01	187.69
199	16	00070	1	01	195.76
199	16	00071	1	01	189.83
199	16	00071	1	02	189.83
199	16	00071	1	03	189.83
199	16	00071	1	04	189.83
199	16	00071	2	05	189.83
199	16	00072	1	01	199.67
199	16	00072	1	02	199.67
199	16	00073	1	01	258.26
199	16	00073	1	02	258.26
199	16	00073	1	03	258.26
199	16	00074	1	01	209.49
199	16	00074	1	02	209.49
199	16	00074	1	03	209.49
199	16	00075	1	01	180.02
199	16	00075	1	02	180.02
199	16	00076	1	01	106.82
199	16	00076	1	02	106.82
199	16	00076	2	03	106.82
199	16	00076	2	04	106.82
199	16	00077	1	02	195.76
199	16	00078	1	01	179.26
199	16	00078	1	02	179.26
199	16	00079	1	01	187.69
199	16	00080	1	01	221.49
199	16	00080	1	02	221.49
199	16	00080	1	03	221.49
199	16	00080	2	04	221.49
199	16	00080	1	05	221.49
199	16	00081	1	01	289.66
199	16	00081	1	02	289.66
199	16	00081	1	04	289.66
199	16	00082	1	01	195.76
199	16	00083	1	01	179.26
199	16	00083	1	02	179.26
199	16	00084	1	01	237.38
199	16	00084	1	02	237.38
199	16	00084	1	03	237.38
199	16	00084	1	04	237.38
199	16	00085	1	01	199.67
199	16	00085	1	02	199.67
199	16	00086	1	01	195.76
199	16	00087	1	01	199.67
199	16	00087	1	02	199.67
199	16	00088	1	01	179.32
199	16	00088	1	02	179.32
199	16	00088	1	04	179.32
199	16	00089	1	01	244.66
199	16	00089	1	02	244.66
199	16	00089	1	03	244.66
199	16	00090	1	01	261.18
199	16	00091	1	01	179.26
199	16	00091	1	02	179.26
199	16	00092	1	01	256.67
199	16	00092	1	02	256.67
199	16	00092	2	03	256.67
199	16	00093	1	01	164.9
199	16	00093	2	02	164.9
199	16	00093	2	03	164.9
199	16	00094	1	01	226.67
199	16	00094	1	02	226.67
199	16	00095	1	01	153.47
199	16	00096	1	01	162.12
199	16	00096	1	02	162.12
199	16	00096	2	03	162.12
199	16	00096	1	04	162.12
199	16	00097	1	01	164.18
199	16	00097	1	02	164.18
199	16	00097	2	03	164.18
199	16	00098	1	01	244.57
199	16	00099	1	01	158.83
199	16	00099	1	02	158.83
199	16	00099	2	03	158.83
199	16	00100	1	01	79.01
199	16	00100	1	02	79.01
199	16	00100	2	03	79.01
199	16	00100	2	04	79.01
199	16	00101	1	01	153.47
199	16	00102	1	01	407.07
199	16	00103	1	01	299.63
199	16	00103	1	02	299.63
199	16	00104	1	01	179.78
199	16	00105	1	01	284
199	16	00106	1	01	112.72
199	16	00106	1	02	112.72
199	16	00106	2	03	112.72
199	16	00106	2	04	112.72
199	16	00107	1	01	223.21
199	16	00107	1	02	223.21
199	16	00107	2	03	223.21
199	16	00107	2	04	223.21
199	16	00107	2	05	223.21
199	16	00108	1	01	180.32
199	16	00108	1	02	180.32
199	16	00109	1	01	195.76
199	16	00110	1	01	151.94
199	16	00110	1	02	151.94
199	16	00110	1	03	151.94
199	16	00110	1	04	151.94
199	16	00111	1	01	199.67
199	16	00111	1	02	199.67
199	16	00112	1	01	196.62
199	16	00112	1	02	196.62
199	16	00112	2	03	196.62
199	16	00112	2	04	196.62
199	16	00113	1	01	199.67
199	16	00113	1	02	199.67
199	16	00114	1	01	184.06
199	16	00114	1	02	184.06
199	16	00115	1	01	199.67
199	16	00115	1	02	199.67
199	16	00116	1	01	213.58
199	16	00117	1	01	187.69
199	16	00118	1	01	195.76
199	16	00119	1	01	278.32
199	16	00119	1	02	278.32
199	16	00120	1	01	153.47
199	16	00121	1	01	153.47
199	16	00122	1	01	153.47
199	16	00123	1	01	209.49
199	16	00123	1	02	209.49
199	16	00123	1	03	209.49
199	16	00124	1	01	114.7
199	16	00125	1	01	153.47
199	16	00126	1	01	213.45
199	16	00126	1	02	213.45
199	16	00126	1	03	213.45
199	16	00126	1	04	213.45
199	16	00127	1	01	164.41
199	16	00127	1	02	164.41
199	16	00128	1	01	275.11
199	16	00128	1	02	275.11
199	16	00128	2	03	275.11
199	16	00129	1	01	186.17
199	16	00130	1	01	187.69
199	16	00131	1	01	57.56
199	16	00131	2	02	57.56
199	16	00131	2	03	57.56
199	16	00132	1	01	135.2
199	16	00132	1	02	135.2
199	16	00132	2	03	135.2
199	16	00133	1	01	186.17
199	16	00134	1	01	124.87
199	16	00134	1	02	124.87
199	16	00134	2	03	124.87
199	16	00135	1	01	153.47
199	16	00136	1	01	156.47
199	16	00137	1	01	170
199	16	00137	1	02	170
199	16	00137	1	03	170
199	16	00137	2	04	170
199	16	00138	1	01	58.1
199	16	00138	2	02	58.1
199	16	00139	1	01	103.93
199	16	00139	2	02	103.93
199	16	00140	1	01	179.78
199	16	00141	1	01	199.67
199	16	00141	1	02	199.67
199	16	00142	1	01	195.76
199	16	00143	1	01	98.22
199	16	00143	1	02	98.22
199	16	00143	2	03	98.22
199	16	00143	2	04	98.22
199	16	00144	1	01	261.18
199	16	00145	1	01	195.76
199	16	00146	1	01	369.8
199	16	00147	1	01	199.67
199	16	00147	1	02	199.67
199	16	00148	1	01	369.8
199	16	00149	1	01	131.18
199	16	00149	1	02	131.18
199	16	00149	2	03	131.18
199	16	00150	1	01	244.57
199	16	00151	1	01	104.38
199	16	00151	1	02	104.38
199	16	00151	2	03	104.38
199	16	00151	2	04	104.38
199	16	00152	1	01	229.48
199	16	00152	1	02	229.48
199	16	00152	2	03	229.48
199	16	00153	1	01	236.23
199	16	00154	1	01	85.97
199	16	00154	1	02	85.97
199	16	00154	2	03	85.97
199	16	00154	2	04	85.97
199	16	00155	1	01	195.76
199	16	00156	1	01	136.29
199	16	00156	1	02	136.29
199	16	00156	1	03	136.29
199	16	00156	2	04	136.29
199	16	00157	1	01	199.67
199	16	00157	1	02	199.67
199	16	00158	1	01	199.67
199	16	00158	1	02	199.67
199	16	00159	1	01	179.26
199	16	00159	1	02	179.26
199	16	00160	1	01	179.26
199	16	00160	1	02	179.26
199	16	00161	1	01	236.23
199	16	00162	1	01	195.76
199	16	00163	1	01	199.67
199	16	00163	1	02	199.67
199	16	00164	1	01	292.85
199	16	00164	1	02	292.85
199	16	00164	1	03	292.85
199	16	00165	1	01	199.67
199	16	00165	1	02	199.67
199	16	00166	1	01	180.02
199	16	00166	1	02	180.02
199	16	00167	1	01	199.67
199	16	00167	1	02	199.67
199	16	00168	1	01	112.72
199	16	00168	1	02	112.72
199	16	00168	2	03	112.72
199	16	00168	2	04	112.72
199	16	00169	1	01	246.13
199	16	00169	1	02	246.13
199	16	00169	1	03	246.13
199	16	00170	1	01	211.39
199	16	00170	1	02	211.39
199	16	00170	1	03	211.39
199	16	00171	1	01	270.63
199	16	00171	1	02	270.63
199	16	00171	1	03	270.63
199	16	00171	1	04	270.63
199	16	00172	1	01	199.67
199	16	00172	1	02	199.67
199	16	00173	1	01	209.62
