"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
194	16	00001	1	01	174.32
194	16	00001	1	02	174.32
194	16	00002	1	01	225.37
194	16	00002	1	02	225.37
194	16	00002	2	03	225.37
194	16	00003	1	01	241
194	16	00003	1	02	241
194	16	00003	1	03	241
194	16	00004	1	01	143.99
194	16	00004	1	02	143.99
194	16	00004	1	03	143.99
194	16	00005	1	01	242.55
194	16	00005	1	02	242.55
194	16	00005	2	03	242.55
194	16	00006	1	01	201.39
194	16	00007	1	01	330.17
194	16	00007	1	02	330.17
194	16	00007	2	03	330.17
194	16	00007	2	04	330.17
194	16	00007	2	05	330.17
194	16	00008	1	01	155.71
194	16	00008	1	02	155.71
194	16	00009	1	01	112.72
194	16	00009	1	02	112.72
194	16	00009	1	03	112.72
194	16	00010	1	01	163.37
194	16	00010	1	02	163.37
194	16	00010	2	03	163.37
194	16	00010	2	04	163.37
194	16	00011	1	01	651.01
194	16	00011	1	02	651.01
194	16	00012	1	01	163.51
194	16	00012	1	02	163.51
194	16	00012	2	03	163.51
194	16	00013	1	01	214.58
194	16	00013	1	02	214.58
194	16	00013	2	03	214.58
194	16	00014	1	01	209.46
194	16	00015	1	01	179.88
194	16	00016	1	01	195.43
194	16	00016	1	02	195.43
194	16	00017	1	01	266.67
194	16	00018	1	01	266.67
194	16	00019	1	01	179.88
194	16	00020	1	01	266.67
194	16	00021	1	01	195.43
194	16	00021	1	02	195.43
194	16	00022	1	01	195.43
194	16	00022	1	02	195.43
194	16	00023	1	01	106.68
194	16	00023	1	02	106.68
194	16	00024	1	01	236.83
194	16	00024	1	02	236.83
194	16	00024	1	03	236.83
194	16	00025	1	01	240.66
194	16	00026	1	01	221.29
194	16	00026	1	02	221.29
194	16	00027	1	01	284.04
194	16	00028	1	01	230.27
194	16	00029	1	01	174.04
194	16	00029	1	02	174.04
194	16	00029	2	03	174.04
194	16	00030	1	01	195.43
194	16	00030	1	02	195.43
194	16	00031	1	01	172.44
194	16	00031	1	02	172.44
194	16	00031	2	03	172.44
194	16	00031	2	04	172.44
194	16	00032	1	01	243.38
194	16	00032	1	02	243.38
194	16	00032	1	03	243.38
194	16	00032	1	04	243.38
194	16	00033	1	01	194.05
194	16	00034	1	01	195.43
194	16	00034	1	02	195.43
194	16	00035	1	01	266.67
194	16	00036	1	01	266.67
194	16	00037	1	01	153.59
194	16	00037	1	02	153.59
194	16	00038	1	01	195.43
194	16	00038	1	02	195.43
194	16	00039	1	01	226.27
194	16	00039	1	02	226.27
194	16	00039	1	03	226.27
194	16	00040	1	01	195.71
194	16	00040	2	02	195.71
194	16	00040	2	03	195.71
194	16	00041	1	01	427.03
194	16	00042	1	01	194.81
194	16	00042	1	02	194.81
194	16	00042	1	03	194.81
194	16	00042	2	04	194.81
194	16	00043	1	01	261.99
194	16	00043	1	02	261.99
194	16	00043	1	03	261.99
194	16	00043	1	04	261.99
194	16	00043	1	05	261.99
194	16	00044	1	01	150.3
194	16	00044	2	02	150.3
194	16	00045	1	01	179.88
194	16	00046	1	01	104.34
194	16	00046	2	02	104.34
194	16	00046	2	03	104.34
194	16	00047	1	01	153.59
194	16	00047	1	02	153.59
194	16	00048	1	01	211.93
194	16	00048	1	02	211.93
194	16	00049	1	01	201.39
194	16	00050	1	01	238.45
194	16	00050	1	02	238.45
194	16	00050	2	03	238.45
194	16	00051	1	01	478.57
194	16	00051	1	02	478.57
194	16	00051	1	03	478.57
194	16	00052	1	01	153.59
194	16	00052	1	02	153.59
194	16	00053	1	01	248
194	16	00053	1	02	248
194	16	00053	1	03	248
194	16	00054	1	01	153.59
194	16	00054	1	02	153.59
194	16	00055	1	01	271.78
194	16	00056	1	01	153.59
194	16	00056	1	02	153.59
194	16	00057	1	01	168.62
194	16	00057	1	02	168.62
194	16	00057	1	03	168.62
194	16	00057	2	04	168.62
194	16	00058	1	01	209.46
194	16	00059	1	01	284.25
194	16	00060	1	01	193.85
194	16	00060	1	02	193.85
194	16	00060	2	03	193.85
194	16	00060	2	04	193.85
194	16	00061	1	01	108.67
194	16	00061	1	02	108.67
194	16	00061	1	03	108.67
194	16	00062	1	01	138.66
194	16	00062	2	02	138.66
194	16	00062	2	03	138.66
194	16	00063	1	01	153.41
194	16	00063	1	02	153.41
194	16	00064	1	01	195.43
194	16	00064	1	02	195.43
194	16	00065	1	01	210.75
194	16	00065	1	02	210.75
194	16	00065	1	03	210.75
194	16	00066	1	01	195.43
194	16	00066	1	02	195.43
194	16	00067	1	01	195.43
194	16	00067	1	02	195.43
194	16	00068	1	01	195.43
194	16	00068	1	02	195.43
194	16	00069	1	01	260.39
194	16	00070	1	01	211.93
194	16	00070	1	02	211.93
194	16	00071	1	01	195.43
194	16	00071	1	02	195.43
194	16	00072	1	01	160.32
194	16	00072	1	02	160.32
194	16	00073	1	01	134.34
194	16	00073	1	02	134.34
194	16	00073	1	03	134.34
194	16	00074	1	01	208.77
194	16	00074	1	02	208.77
194	16	00074	2	03	208.77
194	16	00075	1	01	223.58
194	16	00075	1	02	223.58
194	16	00075	1	03	223.58
