"CICLO"	"CCAA"	"NVIVI"	"NIVEL"	"NPERS"	"FACB2021"
198	16	00001	1	01	166.01
198	16	00001	1	02	166.01
198	16	00001	1	03	166.01
198	16	00001	2	04	166.01
198	16	00002	1	01	78.95
198	16	00002	1	02	78.95
198	16	00002	2	03	78.95
198	16	00002	2	04	78.95
198	16	00003	1	01	132.93
198	16	00004	1	01	183.27
198	16	00004	1	02	183.27
198	16	00005	1	01	251.51
198	16	00005	1	02	251.51
198	16	00006	1	01	187.48
198	16	00006	1	02	187.48
198	16	00006	2	03	187.48
198	16	00007	1	01	281.5
198	16	00008	1	01	302.41
198	16	00008	2	02	302.41
198	16	00009	1	01	205.36
198	16	00009	1	02	205.36
198	16	00009	2	03	205.36
198	16	00009	2	04	205.36
198	16	00009	2	05	205.36
198	16	00009	2	06	205.36
198	16	00009	2	07	205.36
198	16	00010	1	01	241.88
198	16	00011	1	01	150.43
198	16	00011	1	02	150.43
198	16	00011	2	03	150.43
198	16	00012	1	01	159.7
198	16	00013	1	01	251.51
198	16	00013	1	02	251.51
198	16	00014	1	01	213.12
198	16	00014	1	02	213.12
198	16	00015	1	01	202.32
198	16	00015	1	02	202.32
198	16	00015	2	03	202.32
198	16	00016	1	01	289.32
198	16	00016	1	02	289.32
198	16	00016	1	03	289.32
198	16	00016	1	04	289.32
198	16	00017	1	01	207.26
198	16	00017	1	02	207.26
198	16	00017	1	03	207.26
198	16	00017	2	04	207.26
198	16	00018	1	01	210.12
198	16	00019	1	01	166.2
198	16	00019	1	02	166.2
198	16	00020	1	01	174.08
198	16	00021	1	01	190.9
198	16	00021	1	02	190.9
198	16	00021	2	03	190.9
198	16	00021	2	04	190.9
198	16	00021	2	05	190.9
198	16	00022	1	01	166.23
198	16	00022	1	02	166.23
198	16	00022	1	03	166.23
198	16	00022	1	04	166.23
198	16	00023	1	01	218.59
198	16	00023	1	02	218.59
198	16	00023	1	03	218.59
198	16	00024	1	01	186.5
198	16	00024	1	02	186.5
198	16	00025	1	01	174.08
198	16	00026	1	01	186.78
198	16	00026	1	02	186.78
198	16	00027	1	01	132.93
198	16	00028	1	01	186.78
198	16	00028	1	02	186.78
198	16	00029	1	01	19.84
198	16	00029	1	02	19.84
198	16	00029	2	03	19.84
198	16	00029	2	04	19.84
198	16	00030	1	01	214.45
198	16	00031	1	01	102.6
198	16	00031	1	02	102.6
198	16	00031	2	03	102.6
198	16	00032	1	01	119.42
198	16	00032	2	02	119.42
198	16	00032	2	03	119.42
198	16	00033	1	01	241.88
198	16	00034	1	01	176.03
198	16	00034	1	02	176.03
198	16	00035	1	01	126.4
198	16	00035	1	02	126.4
198	16	00035	2	03	126.4
198	16	00036	1	01	241.88
198	16	00037	1	01	143.7
198	16	00037	1	02	143.7
198	16	00037	1	03	143.7
198	16	00037	2	04	143.7
198	16	00038	1	01	132.93
198	16	00039	1	01	166.01
198	16	00039	1	02	166.01
198	16	00039	1	03	166.01
198	16	00039	2	04	166.01
198	16	00040	1	01	260.56
198	16	00041	1	01	106.3
198	16	00041	1	02	106.3
198	16	00041	2	03	106.3
198	16	00042	1	01	200.18
198	16	00043	1	01	184.96
198	16	00043	1	02	184.96
198	16	00043	1	03	184.96
198	16	00044	1	01	471.29
198	16	00044	2	02	471.29
198	16	00044	1	03	471.29
198	16	00044	1	04	471.29
198	16	00044	1	05	471.29
198	16	00044	1	06	471.29
198	16	00045	1	01	431.27
198	16	00046	1	01	281.46
198	16	00046	1	02	281.46
198	16	00046	1	03	281.46
198	16	00046	1	04	281.46
198	16	00046	1	05	281.46
198	16	00047	1	01	182.53
198	16	00047	1	02	182.53
198	16	00047	2	03	182.53
198	16	00047	2	04	182.53
198	16	00047	2	05	182.53
198	16	00047	2	06	182.53
198	16	00048	1	01	233.81
198	16	00048	1	02	233.81
198	16	00048	1	03	233.81
198	16	00049	1	01	195.93
198	16	00049	1	02	195.93
198	16	00049	1	03	195.93
198	16	00049	2	04	195.93
198	16	00049	2	05	195.93
198	16	00050	1	01	180.7
198	16	00050	1	02	180.7
198	16	00050	1	03	180.7
198	16	00051	1	01	90.85
198	16	00051	1	02	90.85
198	16	00051	2	03	90.85
198	16	00051	2	04	90.85
198	16	00052	1	01	167.05
198	16	00053	1	01	223.72
198	16	00054	1	01	171.26
198	16	00054	1	02	171.26
198	16	00054	1	03	171.26
198	16	00055	1	01	171.26
198	16	00055	1	02	171.26
198	16	00055	1	03	171.26
198	16	00056	1	01	186.78
198	16	00056	1	02	186.78
198	16	00057	1	01	174.94
198	16	00057	1	02	174.94
198	16	00057	1	03	174.94
198	16	00058	1	01	186.78
198	16	00058	1	02	186.78
198	16	00059	1	01	186.78
198	16	00059	1	02	186.78
198	16	00060	1	01	186.78
198	16	00060	1	02	186.78
198	16	00061	1	01	233.88
198	16	00062	1	01	267.77
198	16	00062	1	02	267.77
198	16	00063	1	01	186.78
198	16	00063	1	02	186.78
198	16	00064	1	01	169.44
198	16	00064	1	02	169.44
198	16	00065	1	01	57.13
198	16	00065	1	03	57.13
198	16	00066	1	01	151.17
198	16	00066	1	02	151.17
198	16	00066	2	03	151.17
198	16	00067	1	01	211.66
198	16	00067	1	02	211.66
198	16	00067	1	03	211.66
198	16	00068	1	01	159.7
198	16	00069	1	01	212.44
198	16	00069	1	02	212.44
198	16	00069	1	03	212.44
198	16	00070	1	01	174.08
198	16	00071	1	01	226.3
198	16	00071	1	02	226.3
198	16	00072	1	01	186.78
198	16	00072	1	02	186.78
198	16	00073	1	01	203.4
198	16	00073	1	02	203.4
198	16	00074	1	01	174.08
198	16	00075	1	01	174.08
198	16	00076	1	01	220.68
198	16	00076	1	02	220.68
198	16	00077	1	01	186.78
198	16	00077	1	02	186.78
198	16	00078	1	01	186.78
198	16	00078	1	02	186.78
198	16	00079	1	01	92.48
198	16	00079	1	02	92.48
198	16	00079	2	03	92.48
198	16	00080	1	01	119.34
198	16	00080	1	02	119.34
198	16	00080	2	03	119.34
198	16	00080	2	04	119.34
198	16	00081	1	01	136.2
198	16	00081	2	02	136.2
198	16	00081	2	03	136.2
198	16	00081	2	04	136.2
198	16	00082	1	01	186.78
198	16	00082	1	02	186.78
198	16	00083	1	01	153.93
198	16	00083	1	02	153.93
198	16	00083	2	03	153.93
198	16	00083	2	04	153.93
198	16	00083	2	05	153.93
198	16	00084	1	01	96.61
198	16	00084	1	02	96.61
198	16	00084	2	03	96.61
198	16	00084	2	04	96.61
198	16	00085	1	01	186.78
198	16	00085	1	02	186.78
198	16	00086	1	01	284.11
198	16	00087	1	01	210.02
198	16	00087	1	02	210.02
198	16	00087	1	03	210.02
198	16	00088	1	01	174.08
198	16	00089	1	01	211.69
198	16	00089	1	02	211.69
198	16	00089	1	03	211.69
198	16	00089	2	04	211.69
198	16	00089	2	05	211.69
198	16	00090	1	01	186.78
198	16	00090	1	02	186.78
198	16	00091	1	01	237.13
198	16	00091	1	02	237.13
198	16	00091	1	03	237.13
198	16	00092	1	01	166.19
198	16	00092	1	02	166.19
198	16	00092	1	03	166.19
198	16	00093	1	01	183.27
198	16	00093	1	02	183.27
198	16	00094	1	01	96.61
198	16	00094	1	02	96.61
198	16	00094	2	03	96.61
198	16	00094	2	04	96.61
198	16	00095	1	01	220.21
198	16	00095	1	02	220.21
198	16	00096	1	01	186.78
198	16	00096	1	02	186.78
198	16	00097	1	01	224.73
198	16	00097	1	02	224.73
198	16	00097	1	03	224.73
198	16	00097	2	04	224.73
198	16	00097	1	05	224.73
198	16	00098	1	01	262.36
198	16	00098	1	02	262.36
198	16	00098	1	03	262.36
198	16	00098	1	04	262.36
198	16	00099	1	01	174.08
198	16	00100	1	01	186.5
198	16	00100	1	02	186.5
198	16	00101	1	01	151.21
198	16	00101	1	02	151.21
198	16	00101	1	03	151.21
198	16	00101	1	04	151.21
198	16	00102	1	01	186.78
198	16	00102	1	02	186.78
198	16	00103	1	01	174.08
198	16	00104	1	01	186.78
198	16	00104	1	02	186.78
198	16	00105	1	01	171.95
198	16	00105	1	02	171.95
198	16	00105	1	04	171.95
198	16	00106	1	01	236.95
198	16	00106	1	02	236.95
198	16	00106	1	03	236.95
198	16	00107	1	01	233.88
198	16	00108	1	01	186.5
198	16	00108	1	02	186.5
198	16	00109	1	01	216.92
198	16	00109	1	02	216.92
198	16	00109	2	03	216.92
198	16	00110	1	01	92.08
198	16	00110	2	02	92.08
198	16	00110	2	03	92.08
198	16	00111	1	01	187.91
198	16	00111	1	02	187.91
198	16	00112	1	01	159.7
198	16	00113	1	01	112.69
198	16	00113	2	02	112.69
198	16	00113	1	03	112.69
198	16	00113	1	04	112.69
198	16	00114	1	01	106.3
198	16	00114	1	02	106.3
198	16	00114	2	03	106.3
198	16	00115	1	01	251.51
198	16	00115	1	02	251.51
198	16	00116	1	01	353.12
198	16	00117	1	01	102.6
198	16	00117	1	02	102.6
198	16	00117	2	03	102.6
198	16	00118	1	01	105.48
198	16	00118	1	02	105.48
198	16	00118	2	03	105.48
198	16	00118	2	04	105.48
198	16	00119	1	01	159.7
198	16	00120	1	01	471.75
198	16	00121	1	01	323.62
198	16	00121	1	02	323.62
198	16	00122	1	01	241.88
198	16	00123	1	01	233.88
198	16	00124	1	01	226.73
198	16	00124	1	02	226.73
198	16	00124	2	03	226.73
198	16	00124	2	04	226.73
198	16	00124	2	05	226.73
198	16	00125	1	01	155.31
198	16	00125	1	02	155.31
198	16	00126	1	01	151.8
198	16	00126	1	02	151.8
198	16	00126	2	03	151.8
198	16	00126	2	04	151.8
198	16	00127	1	01	222.5
198	16	00127	1	02	222.5
198	16	00127	2	03	222.5
198	16	00127	2	04	222.5
198	16	00128	1	01	95.73
198	16	00128	1	02	95.73
198	16	00129	1	01	214.45
198	16	00130	1	01	117.66
198	16	00130	1	02	117.66
198	16	00130	1	03	117.66
198	16	00130	2	04	117.66
198	16	00131	1	01	303.37
198	16	00131	1	02	303.37
198	16	00131	1	03	303.37
198	16	00132	1	01	125.04
198	16	00132	1	02	125.04
198	16	00132	1	03	125.04
198	16	00132	1	04	125.04
198	16	00133	1	01	128.2
198	16	00133	1	02	128.2
198	16	00133	2	03	128.2
198	16	00134	1	01	103.53
198	16	00134	1	02	103.53
198	16	00134	2	03	103.53
198	16	00134	2	04	103.53
198	16	00135	1	01	106.73
198	16	00135	1	02	106.73
198	16	00135	2	03	106.73
198	16	00135	2	04	106.73
198	16	00136	1	01	90.85
198	16	00136	1	02	90.85
198	16	00136	2	03	90.85
198	16	00136	2	04	90.85
198	16	00137	1	01	198.26
198	16	00137	1	02	198.26
198	16	00137	2	03	198.26
198	16	00138	1	01	174.08
198	16	00139	1	01	328.52
198	16	00139	1	02	328.52
198	16	00139	2	03	328.52
198	16	00140	1	01	148.76
198	16	00140	1	02	148.76
198	16	00140	1	03	148.76
198	16	00140	1	04	148.76
198	16	00141	1	01	186.78
198	16	00141	1	02	186.78
198	16	00142	1	01	231.35
198	16	00142	1	02	231.35
198	16	00142	2	03	231.35
198	16	00142	2	04	231.35
198	16	00143	1	01	186.78
198	16	00143	1	02	186.78
198	16	00144	1	01	144.62
198	16	00144	1	02	144.62
198	16	00145	1	01	186.78
198	16	00145	1	02	186.78
198	16	00146	1	01	210.12
198	16	00147	1	01	217.24
198	16	00148	1	01	174.08
198	16	00149	1	01	174.08
198	16	00150	1	01	208.04
198	16	00150	1	02	208.04
198	16	00151	1	01	115.6
198	16	00151	1	02	115.6
198	16	00151	2	03	115.6
198	16	00151	2	04	115.6
198	16	00152	1	01	211.25
198	16	00152	1	02	211.25
198	16	00153	1	01	300.42
198	16	00153	1	02	300.42
198	16	00153	1	07	300.42
198	16	00154	1	01	173.26
198	16	00154	1	02	173.26
198	16	00155	1	01	233.26
198	16	00155	1	02	233.26
198	16	00156	1	01	153.8
198	16	00156	1	02	153.8
198	16	00156	1	03	153.8
198	16	00156	1	04	153.8
198	16	00157	1	01	99.13
198	16	00157	1	02	99.13
198	16	00157	1	03	99.13
198	16	00157	2	04	99.13
198	16	00158	1	01	251.99
198	16	00158	1	02	251.99
198	16	00158	1	03	251.99
198	16	00159	1	01	199.64
198	16	00159	1	02	199.64
198	16	00160	1	01	217.24
198	16	00161	1	01	76.11
198	16	00161	1	02	76.11
198	16	00161	2	03	76.11
198	16	00161	2	04	76.11
198	16	00162	1	01	19.84
198	16	00162	1	02	19.84
198	16	00162	2	03	19.84
198	16	00162	2	04	19.84
198	16	00163	1	01	50.23
198	16	00163	2	02	50.23
198	16	00163	2	03	50.23
198	16	00164	1	01	85.7
198	16	00164	1	02	85.7
198	16	00164	1	03	85.7
198	16	00165	1	01	146.01
198	16	00165	1	02	146.01
198	16	00165	2	03	146.01
198	16	00166	1	01	186.78
198	16	00166	1	02	186.78
198	16	00167	1	01	174.08
198	16	00168	1	01	119.42
198	16	00168	2	02	119.42
198	16	00168	2	03	119.42
198	16	00169	1	01	132.93
198	16	00170	1	01	124.68
198	16	00170	1	02	124.68
198	16	00170	2	03	124.68
198	16	00170	2	04	124.68
198	16	00171	1	01	20.68
198	16	00171	2	02	20.68
198	16	00172	1	01	241.88
198	16	00173	1	01	186.78
198	16	00173	1	02	186.78
198	16	00174	1	01	174.08
198	16	00175	1	01	76.11
198	16	00175	1	02	76.11
198	16	00175	2	03	76.11
198	16	00175	2	04	76.11
198	16	00176	1	01	310.66
198	16	00177	1	01	174.08
198	16	00178	1	01	450.56
198	16	00179	1	01	186.78
198	16	00179	1	02	186.78
198	16	00180	1	01	450.56
198	16	00181	1	01	226.3
198	16	00181	1	02	226.3
198	16	00182	1	01	353.12
198	16	00183	1	01	159.15
198	16	00183	1	02	159.15
198	16	00183	2	03	159.15
198	16	00183	2	04	159.15
198	16	00184	1	01	251.99
198	16	00184	1	02	251.99
198	16	00184	2	03	251.99
198	16	00185	1	01	284.11
198	16	00186	1	01	87.82
198	16	00186	1	02	87.82
198	16	00186	2	03	87.82
198	16	00186	2	04	87.82
198	16	00187	1	01	86.53
198	16	00187	1	02	86.53
198	16	00187	1	03	86.53
198	16	00187	2	04	86.53
198	16	00188	1	01	167.05
198	16	00189	1	01	214.78
198	16	00189	1	02	214.78
198	16	00189	1	03	214.78
198	16	00190	1	01	281.5
198	16	00191	1	01	186.5
198	16	00191	1	02	186.5
198	16	00192	1	01	186.78
198	16	00192	1	02	186.78
198	16	00193	1	01	179.59
198	16	00193	1	02	179.59
198	16	00193	1	03	179.59
198	16	00193	1	04	179.59
198	16	00194	1	01	236.95
198	16	00194	1	02	236.95
198	16	00194	1	03	236.95
198	16	00195	1	01	186.78
198	16	00195	1	02	186.78
